电影名,年份,上映时间,类型,时长,评分,语言,导演,作者,宣传语,简介
后窗,1954,2019-04-13,"惊悚,悬疑",112,83,英语,阿尔弗雷德·希区柯克,约翰·迈克尔·海耶斯,只需一个目击者，就能破坏这桩完美的犯罪。,一位足不出户的摄影师透过公寓窗户窥见邻居们的隐秘生活，当他断定其中一人犯下谋杀罪行时，一场扣人心弦的观察与博弈就此展开。詹姆斯·斯图尔特与格蕾丝·凯利联袂出演这场由阿尔弗雷德·希区柯克执导的、在有限空间内层层铺陈悬念的影史经典。
激进教学,2023,2023-10-19,剧情,122,83,西班牙语,Christopher Zalla,,Think for yourself.,在一个充满忽视、腐败和暴力的墨西哥边境小镇，一名老师决定尝试一种激进的新方法来释放学生的潜力与好奇心，甚至发掘出他们的天才之处。
蜘蛛侠：纵横宇宙,2023,2023-06-02,"动画,动作,冒险,科幻",140,83,英语,肯普·鲍尔斯,贾斯汀·K·汤普森,每个人都说这是蜘蛛侠注定的命运，但我要找到属于自己的路。,荣获奥斯卡奖的蜘蛛侠平行宇宙传奇迎来全新篇章。在这段史诗级冒险中，布鲁克林的全职邻家英雄蜘蛛侠迈尔斯·莫拉莱斯将穿越多元宇宙，与格温·史黛西及全新蜘蛛侠团队集结成军，直面前所未见的强大反派。[索尼影业]
链锯人剧场版：蕾塞篇,2025,2025-09-19,"动画,动作,爱情,奇幻",100,83,日语,吉原达矢,濑古浩司,活出你的人生本色……并让它精彩纷呈。,故事延续TV动画的最终章，讲述男主角电次在偶然邂逅的神秘少女蕾塞的庇护下，在快节奏的战斗中，奔向难以预测的命运。  电次，一个少年，与“电锯恶魔”签订契约，化身“电锯人”，成为隶属于公安部魔物对策特别课四课的魔物猎人，与魔物战斗。正兴奋地等待着与心仪的女性、公安部上司玛奇玛约会，却遭遇突如其来的暴雨，不得不在雨中避雨。在避雨的过程中，他邂逅了名为蕾塞的少女。在附近咖啡馆工作的蕾塞对电次露出了和善的笑容，两人迅速成为了好朋友。这次邂逅标志着电次的日常生活发生了重大改变。
美国X档案,1998,1998-10-30,剧情,119,83,英语,托尼·凯耶,大卫·麦肯纳,Some legacies must end.,德瑞克 的父亲在他很小的时候就被一名黑人毒贩射杀，从此给他幼小的心灵埋下了仇恨的种子。原来德瑞克功课很好，是老师眼中的好学生。但自从父亲遇难后，他就将一切心机都放在了对付有色人种上面。他积极组织起一帮白人青年混混，到处和有色人种对着干。一次，他射杀了两名黑人，因此入狱。入狱后，德瑞克加入了一伙新纳粹的白人。后来，因工作关系他和一名黑人成了好友，他开始反思自己的过去。当他意欲脱离狱中新纳粹组织时，遭到了拳打脚踢。德瑞克出狱后，决心和以前自己组织的帮会脱离关系，带着弟弟远走他乡开始新的生活。
带来灵魂：防弹少年团演唱会电影,2019,2019-08-07,"音乐,纪录",103,83,朝鲜语,Park Jun-soo,,"Forever, we are young.",据媒体报道防弹少年团 第三部演唱会电影《Bring the Soul：The Movie》确定将于8月7日全球同步上映并公开了海报。据悉，该电影记录了防弹少年团从首尔开始经过众多的城市，结束漫长的欧洲巡演后在围坐在巴黎一个小小的屋顶举行属于他们自己的庆祝宴的模样。另外，《Bring the Soul：The Movie》将展现防弹少年团7名成员各样的魅力，他们率真坦诚的面貌将带给观众心动和感动，该片将于8月7日上映。
幽灵公主,1997,2025-05-01,"冒险,奇幻,动画",134,83,日语,宫崎骏,,The fate of the world rests on the courage of one warrior.,室町时代时期的虾夷族少年阿席达卡，某日遇到被称为“邪魔神”攻击他所居住村落的怪物。在阿席达卡为了保护村落与邪魔神对战时，过程当中遭受邪魔神的攻击而留下创伤与诅咒。击败了邪魔神之后，阿席达卡发现对方是由一头愤怒的山猪神所变化而成，并在祂的体内发现一颗铁弹。之后村里的女巫便劝他以铁弹为线索，来离开村落前往西方，查找邪魔神产生的来源和解除诅咒方法。  于阿席达卡的旅途中，他拯救了两名来自于炼铁据地“达达拉城”的住民。在协助对方返回到达达拉城之后，阿席达卡得知邪魔神身上的铁弹，便是遭到由达达拉城所打造的火枪所伤，其中达达拉城的统治者黑帽大人因为炼铁缘故从森林中砍伐许多木头资源，便与森林中的神祇交恶发生冲突。起初阿席达卡对于黑帽大人夺取资源、伤害森林神祇的行为感到愤怒，但之后目睹到众多穷人以及被社会隔离的痳疯患者在达达拉城有着生存机会而动摇。  后续他知晓森林里住着一位由犬神所养大，憎恨黑帽大人一心想取下对方性命，有着“幽灵公主”名号的人类少女小桑。在阿席达卡来到达达拉城的当日夜晚里，小桑突然现身于达达拉城内想找寻机会突击黑帽大人。当她们俩人展开打斗时，阿席达卡试图想调停双方之间的斗争，但在阻止的过程中阿席达卡意外遭旁人用石火枪给误射打伤。而小桑之后则将阿席达卡带回自己居住的森林里疗养。  在伤口撤销后，阿席达卡得知小桑打算与其祂山猪神同盟向人类一决死战，并发现到黑帽大人要与朝廷一方势力联手，来夺取名为“山兽神”的森林神祇之首级，以获得对方长生不死能力的事情。之后阿席达卡便试着想在混乱的局势中，找寻可解决冲突的方式。
回到未来,1985,1985-07-03,"冒险,喜剧,科幻",116,83,英语,罗伯特·泽米吉斯,Bob Gale,他是唯一一个到出生前惹麻烦的孩子。,马蒂·麦克弗莱，一位典型的八十年代美国青少年，意外被一台由钚动力驱动的德罗宁“时间机器”送回到1955年——这台机器由一位略带疯狂的科学家发明。在这段时常癫狂、总是惊人的穿越之旅中，马蒂必须确保他那正值青春期的未来父母相遇并坠入爱河，他才能顺利返回未来。[官方简介]
别假正经,1984,2024-06-16,"纪录,音乐",88,83,英语,乔纳森·戴米,,Why stop making sense? Why a movie? Why a big suit? Where do the odd movements come from? What will the band do next?,一部关于摇滚乐队传声头的演唱会纪实电影。
荒野机器人,2024,2024-09-20,"动画,科幻,家庭,冒险,剧情",102,83,英语,克里斯·桑德斯,彼得·布朗,发现你的本性,梦工厂动画全新改编文学畅销作品——彼得·布朗荣获大奖、备受喜爱的《纽约时报》榜首畅销书《荒野机器人》。这段史诗冒险讲述机器人“ROZZUM单元7134”（简称“罗兹”）的旅程：她因船只失事流落荒岛，必须学会适应严酷环境，逐渐与岛上动物建立联系，并成为一只孤儿小鹅的养母。[梦工厂影业]
生之欲,1952,1952-10-09,剧情,143,83,日语,黑泽明,小国英雄,A big story of a little man which will grip your soul...,黑泽明导演生涯的至高成就之一，本片以极致的悲悯凝视死亡，完成对生命的礼赞。志村乔动人诠释胃癌晚期的老公务员渡边勘治，在生命终点踏上追寻意义的旅程。影片以突破性的双段式结构展开，镜头语言浸润着洞察人性本真的人文主义光辉，从多重维度叩问生存的真谛。[标准收藏]
同级生,2016,2016-02-20,"爱情,动画",61,83,日语,中村章子,中村明日美子,"Sincerely, Slowly, Falling in Love.",夏天时节，东府第一高校要举行合唱祭。在课后合唱训练中，高中二年级A班草壁光（神谷浩史 配音）发现同班的尖子生佐条利人（野岛健儿 配音）并没有开口唱歌。草壁原以为这样的优等生不屑于合唱活动，却在当天放学后发现佐条独自留在教室练习。鬼使神差地，擅长音律的草壁主动提出要帮助佐条练习唱歌。经过多日的相处，草壁渐渐被认真的佐条吸引，却一直苦恼于对方是为了他人才如此努力学习唱歌。到了合唱祭这一天，草壁忽然控制不住情绪，在正式演出中途跑了出去，佐条见状紧张地追上。在空荡荡的校园里，二人终于向对方确定了心意。夏天要结束了，而他们青春的诗篇才刚刚开始。
罗小黑战记,2019,2019-08-27,"动画,奇幻,动作",102,83,汉语,MTJJ,彭可欣,有你的地方 就是家,在熙攘的人类世界里，很多妖精隐匿其中，他们与人类相安无事地生活着。猫妖罗小黑因为家园被破坏，开始了它的流浪之旅。这场旅途中惺惺相惜的妖精同类与和谐包容的人类伙伴相继出现，让小黑陷入了两难抉择，究竟何处才是真正的归属？
未麻的部屋,1998,2024-04-18,"动画,惊悚",82,83,日语,今敏,竹内义和,"""excuse me... who are you?""",当红三人少女偶像团体Charming Bird面临解散，核心成员雾越未麻在事务所的安排下不得不退出团体，转型成为一名电视剧演员。万事开头难，对于偶像歌手转型而来的未麻尤其如此，她在工作中承受着压力，闷闷不乐。与此同时，各种恐吓信不断、经纪人田所先生遇袭以及以自己的口吻在网站上写日记的神秘人都让未麻焦虑不已，恍惚间她甚至看到另一个自己。未麻的苦恼无人知晓，贪婪的田所甚至同意剧组的剧本，要求未麻出演一场尺度极大的强暴戏。这次演出成为未麻演艺事业的转折点，她的出镜率开始攀升，甚至还拍摄了裸露的写真。与此相对，电视剧编剧涩谷和曾给未麻拍下裸照摄影师村野接连遇害。未麻的生活变得混乱不堪，真相究竟如何？本片荣获1997年亚洲奇幻电影节最佳亚洲影片。
死亡诗社,1989,1989-06-02,剧情,128,83,英语,彼得·威尔,托马斯·舒尔曼,He was their inspiration. He made their lives extraordinary.,威尔顿预备学院以其沉稳凝重的教学风格和较高的升学率闻名，作为其毕业班的学生，理想就是升入名校。新学期文学老师约翰·基汀（罗宾·威廉姆斯 饰）的到来如同一阵春风，一反传统名校的严肃刻板...
五等分的新娘 剧场版,2022,2022-05-20,"动画,喜剧,爱情",136,83,日语,神保昌登,大知庆一郎,简介,为了让「濒临留级」又「讨厌学习」的美少女五姐妹通过学校考试毕业，主角风太郎以兼职家庭教师的身份来到中野家指导她们的课业，也因此渐渐与五胞胎们培养出感情。怀抱着各种想法的各人也迎来高中生活最后的活动「学园祭」。「学园祭第一天15时请到教室来。」聚集在教室里的五胞胎们，风太郎想告诉她们的是……
紫罗兰永恒花园 剧场版,2020,2021-12-25,"动画,剧情,奇幻,爱情",140,83,日语,石立太一,晓佳奈,致我最心爱的人，这是我最后的书信。,——「爱」究竟是什么？  曾经将「爱」告诉自己、 给予自己的，重要的人。  即使想见，却再也见不到。 永远。 放开了手的、最最重要的那个人。  从事代笔业的她，名字是「薇尔莉特·伊芙加登」。自幼身为士兵参战，没能获得培育心灵机会的她，无法理解自己重要的上司「吉尔伯特·布干维利亚」所留下的话语。——我从心底，爱着你。  让人们背负深深伤痕的战争结束之后，经过数年。生活随着新技术的开发而改变，人们开始面向前方前进。但，薇尔莉特坚信着吉尔伯特还在某处活着，每一天只是思念着他。——亲爱的吉尔伯特少校。今天我又再一次回忆起了少校的事情。薇尔莉特强烈的愿望，溶解在静谧的夜当中。  在吉尔伯特母亲的月忌日，薇尔莉特像是要代替他一般地献上鲜花。某天，她与吉尔伯特的哥哥·迪特福利特海军上校不期而遇。迪特福利特告诉她是时候该忘记吉尔伯特了，但薇尔莉特立刻做出了答复。「我无法忘记」。  就在此时，薇尔莉特接到了一通委托电话。委托人是名叫尤里斯的少年。另一方面，在邮政公司的仓库里，发现了一封收信人不明的信……。
这个杀手不太冷,1994,2024-11-01,"犯罪,剧情,动作",133,83,法语,吕克·贝松,,想把事情办的漂亮，就得请专业的,里昂是名孤独的职业杀手，受人雇佣。一天，邻居家小姑娘马蒂尔达敲开他的房门，要求在他那里暂避杀身之祸。原来邻居家的主人是警方缉毒组的眼线，只因贪污了一小包毒品而遭恶警杀害全家的惩罚。马蒂尔达得到里昂的留救，幸免于难，并留在里昂那里。里昂教小女孩使枪，她教里昂法文，两人关系日趋亲密，相处融洽。女孩想着去报仇，反倒被抓，里昂及时赶到，将女孩救回。混杂着哀怨情仇的正邪之战渐次升级，更大的冲突在所难免……
我们如此相爱,1974,1974-12-21,"剧情,喜剧",124,83,意大利语,Ettore Scola,艾根诺尔·因克鲁西,A many splendored thing.,安东尼奥（尼诺·曼弗莱迪 Nino Manfredi 饰）、贾尼（维托里奥·加斯曼 Vittorio Gassman 饰）和尼古拉（Stefano Satta Flores 饰）是战争时代的生死之交。战争结束后，他们回归了家乡，开始了各自迥异的生活。安东尼奥结识了美丽女孩露西安娜（斯蒂芬尼娅·桑德雷莉 Stefania Sandrelli 饰），坠入了情网，可露西安娜喜欢的却偏偏是贾尼。可最终，贾尼选择同侯爵女儿结婚，露西安娜陷入了痛苦之中，此时，安东尼奥再度出现在了露西安娜的身边，陪伴守护着她。露西安娜一直希望能够成为一名演员，为了实现理想，她甚至不惜向负责挑选演员的负责人献出了肉体。几经波折，安东尼奥和露西安娜总算坦诚相对，互诉衷肠，一对璧人终于走到了一起。
